"start","end","data__country","data__one","data__two","data__three","data__four","data__five","data__six","data__seven","data__eight","data__nine","data__ten","data__unsure","data__no_ans","data__n","data__mean","data__deviation","data__base_mean"
"","","Egypt","56.3","16.3","10.7","3.9","5.6","2.5","1.8","1.5","0.7","0.5","0.3","0","3","2.15","1.83","2.992"
"","","United States","29.5","7","6.2","5.5","15.3","12.1","5.8","7","2.8","8.1","0.7","0","1.2","4.39","2.97","1.191"
"","","Serbia","18.8","4.8","8.1","5.2","24.2","6.4","7.2","9.2","3.2","5.8","7.2","0","1.2","4.78","2.73","1.114"
"2005","2009","Total","47.1","6","5.1","4.5","10.8","5.5","3.7","4.2","2.2","5.6","3.9","1.3","39.654","3.32","2.9","37.534"
"","","Argentina","53.9","1.9","3.4","1.3","12.2","5.3","3.7","2.6","1.1","7.2","6.5","1.1","1.002","3.18","2.99","927"
"","","Australia","17.9","3.6","4.2","3.5","18","10.5","7.6","10.9","6.8","14.4","0","2.6","1.421","5.65","3.05","1.385"
"","","Brazil","62.3","6.9","6.3","3.3","10.2","1.4","2.1","2.2","0.7","3.4","0.1","1.2","1.5","2.43","2.38","1.479"
"","","Chile","57.7","6.2","6.2","2.8","10.5","2.5","3.9","2.5","0.8","3.3","3.3","0.4","1","2.64","2.51","963"
"","","China","60.8","8.3","4.5","2.6","3.9","2.6","1.3","1.9","0.6","1.8","11.3","0.3","1.991","2.09","2.13","1.76"
"","","Taiwan","33.9","7.9","11.5","6.8","20.1","8.9","3.6","3.9","1.1","2.2","0.1","0","1.227","3.54","2.42","1.225"
"","","Colombia","73.6","6.3","3.8","2.6","5.1","2","2","1.7","0.7","1.5","0.5","0","3.025","1.97","2.03","3.011"
"","","Georgia","49.6","5.9","7.9","9.5","11.1","3.7","1.9","2","0.5","0.3","7.3","0.3","1.5","2.57","2.05","1.386"
"","","India","49","0","0","11.8","0","9.2","0","6.1","0","6.9","16.6","0.2","2.001","3.25","3.06","1.663"
"","","Iraq","81.8","7","2.2","1.7","1.1","0.7","0.5","0.4","0.5","0.6","2.7","0.7","2.701","1.41","1.32","2.609"
"","","Japan","13.9","8.5","11.1","6.6","21","14.5","6.4","5.7","2.1","3.7","0","6.5","1.096","4.59","2.43","1.025"
"","","Jordan","92.7","1.2","1.5","1.3","1.4","0.7","0.2","0.1","0.1","0","0","0.7","1.2","1.21","0.89","1.191"
"","","South Korea","31.6","9.2","10.6","9.7","22.1","6.1","5.2","3.2","1","1.2","0","0","1.2","3.52","2.29","1.2"
"","","Mexico","51.9","6.2","3.8","3","11.2","3.5","3.4","3.7","2.2","6.2","2.8","2.1","1.56","3.16","2.94","1.484"
"","","Morocco","73.5","3.7","5.8","3.3","6.7","0.8","1.1","0.6","0.2","1.1","0","3.4","1.2","1.8","1.72","1.159"
"","","New Zealand","14.7","5.1","7","5.7","15.5","10.5","7.7","11.5","4.8","7.7","4.9","4.9","954","5.27","2.83","860"
"","","Poland","47.3","7.6","5.5","4","14.6","3.6","3.8","3.2","1.5","2.6","6.1","0.1","1","3","2.56","938"
"","","Russia","30.2","4.4","5.5","5","19","6.9","5.2","3.4","2.3","6.9","10.1","0.7","2.033","4.11","2.9","1.805"
"","","Serbia","21.8","6.2","7.5","5.3","12.9","9.3","5.2","8.2","5.2","8.4","5.1","4.8","1.22","4.79","3.04","1.1"
"","","Slovenia","15.1","3.9","3.7","3.9","5.1","17","5.9","10","7.4","20.7","5.2","2.1","1.037","6.17","3.18","961"
"","","South Africa","55.6","11.2","4.8","3.7","8","3.2","2.9","3.3","1.8","2.9","2.6","0","2.988","2.65","2.53","2.91"
"","","Spain","16.4","4.5","3.9","4.4","20.5","10","9.9","8.2","3.9","14.2","3.1","1","1.2","5.52","2.96","1.151"
"","","Sweden","2.2","1.2","3.9","1.7","9.1","6.9","9.7","15.7","12.2","36.1","0","1.5","1.003","7.85","2.36","988"
"","","Turkey","61.1","9.1","6.4","4","7.3","3.8","2.7","1.2","0.6","2.2","0.8","0.7","1.346","2.33","2.21","1.323"
"","","Ukraine","27","9","7.1","6.3","15.1","8.9","6.1","3.9","2.3","2.4","9.9","1.9","1","3.85","2.61","881"
"","","United States","23.8","6.9","5.6","4","24.6","6.4","6","6.5","3","6.6","0","2.8","1.249","4.48","2.83","1.167"
"","","Uruguay","33.2","4.3","3.5","4.7","19.3","6","6","5.5","4.7","10.9","0","1.9","1","4.49","3.18","981"
"2010","2014","Total","44.4","7.5","6.3","4.7","11.2","5.1","4.2","4","2.2","5.8","2.8","1.8","47.574","3.38","2.89","45.392"
"","","Argentina","41.1","6.1","4.6","4.5","13.3","7","5.3","4","1.7","4.5","4.4","3.5","1.03","3.5","2.82","949"
"","","Australia","15.7","3.2","3.9","3.3","22.2","8.5","9.3","12.1","5.6","15.3","0","1","1.477","5.8","2.95","1.462"
"","","Brazil","69.9","4.6","2.5","2","8.7","2.7","2.3","1.2","1","4","0.7","0.5","1.486","2.31","2.45","1.468"
"","","Chile","43.3","9.1","7.9","6.2","11.5","3.6","3.5","3.4","1.3","5.6","3.8","0.8","1","3.23","2.76","954"
"","","China","38.8","10.3","8","6.3","5.6","4.8","3.7","2.2","0.9","1.4","4.1","14","2.3","2.81","2.34","1.883"
"","","Taiwan","27.9","10","12.3","6.7","21.9","5.9","4.1","2.8","1","1.9","5.2","0.5","1.238","3.55","2.31","1.168"
"","","Colombia","73.3","7.4","3.5","2.9","5.2","2.4","1.6","1.1","0.6","1.4","0.5","0.2","1.512","1.9","1.93","1.502"
"","","Georgia","68.1","8.9","7.6","3.7","5.2","2","0.7","1","0.2","0.2","2.2","0.2","1.202","1.83","1.58","1.174"
"","","India","76.2","6.1","3.1","2.3","2.8","0.8","0.7","0.7","0.6","1.2","0","5.5","4.078","1.62","1.65","3.854"
"","","Iraq","47.9","15.2","10.4","7.6","4.6","4.5","3.4","2.1","0.7","0.2","3.4","0","1.2","2.47","2","1.159"
"","","Japan","11.9","6.5","10.2","6.7","23.7","6.6","5.5","7.2","2","5.3","14.4","0","2.443","4.76","2.53","2.09"
"","","Jordan","66","8.8","8.8","6.2","6.6","2.1","0.9","0.2","0.1","0.2","0.3","0","1.2","1.91","1.54","1.196"
"","","South Korea","36.4","6.8","11.7","9.8","17.5","7","5.2","3.2","1.5","0.7","0","0.4","1.2","3.36","2.31","1.196"
"","","Mexico","61.6","5.5","3.1","2.2","9.4","3.1","2.9","2.8","1.8","7.2","0.2","0.1","2","2.88","2.92","1.992"
"","","Morocco","71.7","5","3.1","3.1","5.5","0.9","0.8","0.5","0.6","1.2","4.5","3.2","1.2","1.76","1.76","1.107"
"","","New Zealand","17.4","4.8","6.8","4.4","18.7","9.4","8.2","11.2","3.2","9.8","4.5","1.8","841","5.21","2.9","788"
"","","Nigeria","61.4","14.9","8.4","5","2.7","3.3","1.5","0.9","0.7","1.1","0","0","1.759","2.05","1.85","1.759"
"","","Pakistan","76.8","12","5.6","2.1","1.4","0.7","0.4","0.7","0.4","0","0","0","1.2","1.49","1.19","1.2"
"","","Peru","57.4","10.9","5.5","4.9","8.8","2.1","2.1","2.1","0.8","2.1","1.9","1.5","1.21","2.4","2.23","1.169"
"","","Philippines","56.6","7.7","4.9","3.9","7.6","2.3","2.3","2.3","2.6","9.7","0","0.1","1.2","3.09","3.09","1.199"
"","","Poland","43.8","9.1","7.6","3.7","14","5.6","3.7","3.3","1.2","2.8","4.7","0.5","966","3.1","2.55","916"
"","","Russia","23.6","5.2","7.6","7.5","16.4","9.7","6.3","6.7","3.5","3.6","8.7","0.6","2.5","4.36","2.72","2.255"
"","","Slovenia","11.8","2.5","4.1","2.4","3.1","18.2","4.9","8.9","8.3","31.4","3.1","1.2","1.069","6.88","3.12","1.023"
"","","South Africa","32.5","10.3","7.1","5.8","9.2","8.9","8.1","5.8","5.5","4.3","2.4","0","3.531","4.03","2.94","3.445"
"","","Spain","17.7","3.5","6.1","3.9","20","7.2","9.8","8.7","3.2","15.6","3.3","0.9","1.189","5.49","3.04","1.139"
"","","Sweden","4.7","1.4","2.5","1.8","10.9","5.3","7.5","10.9","7.1","43.5","3.6","0.6","1.206","7.81","2.66","1.154"
"","","Turkey","66.1","9.5","4.3","3.6","8.2","2","2","1.2","0.3","1.7","0.8","0.3","1.605","2.11","2.03","1.586"
"","","Ukraine","32.9","7.2","8.5","9.5","19.8","7.1","5.9","4","2.6","2.7","0","0","1.5","3.75","2.55","1.5"
"","","United States","22.4","6.2","5.9","4.9","23.3","7","6.8","7.3","3.5","9.8","0","2.9","2.232","4.8","2.94","2.167"
"","","Uruguay","42","3.6","4","3.7","14.3","4.8","4.5","5.4","2.8","8.6","5.1","1.2","1","3.87","3.16","937"
